,country_code,Country,Total,Geographical region
0,ATG,Antigua and Barbuda,0,Other
1,CCK,Cocos (Keeling) Islands,0,Other
2,BEL,Belgium,0,Other
3,BHR,Bahrain,0,Other
4,GTM,Guatemala,0,Other
5,MKD,"Macedonia, Republic of",0,Other
6,KEN,Kenya,0,Other
7,IMN,Isle of Man,0,Other
8,ABW,Aruba,0,Other
9,DOM,Dominican Republic,0,Other
10,BGD,Bangladesh,0,Other
11,SWZ,Swaziland,0,Other
12,LIE,Liechtenstein,0,Other
13,MDA,"Moldova, Republic of",0,Other
14,BLM,Saint Barthélemy,0,Other
15,NIU,Niue,0,Other
16,TUV,Tuvalu,0,Other
17,TZA,"Tanzania, United Republic of",0,Other
18,MDV,Maldives,0,Other
19,COK,Cook Islands,0,Other
20,PCN,Pitcairn,0,Other
21,BOL,"Bolivia, Plurinational State of",0,Other
22,ASM,American Samoa,0,Other
23,VGB,"Virgin Islands, British",0,Other
24,NLD,Netherlands,0,Other
25,CHL,Chile,0,Other
26,COM,Comoros,0,Other
27,AGO,Angola,0,Other
28,ISL,Iceland,0,Other
29,BRN,Brunei Darussalam,0,Other
30,JOR,Jordan,0,Other
31,BWA,Botswana,0,Other
32,LKA,Sri Lanka,0,Other
33,NOR,Norway,0,Other
34,PRT,Portugal,0,Other
35,MOZ,Mozambique,0,Other
36,NGA,Nigeria,0,Other
37,EST,Estonia,0,Other
38,GRC,Greece,0,Other
39,CAF,Central African Republic,0,Other
40,MHL,Marshall Islands,0,Other
41,SUR,Suriname,0,Other
42,IDN,Indonesia,0,Other
43,WSM,Samoa,0,Other
44,SGP,Singapore,0,Other
45,AIA,Anguilla,0,Other
46,UMI,United States Minor Outlying Islands,0,Other
47,AZE,Azerbaijan,0,Other
48,FSM,"Micronesia, Federated States of",0,Other
49,VUT,Vanuatu,0,Other
50,TKL,Tokelau,0,Other
51,MEX,Mexico,0,Other
52,USA,United States,0,Other
53,CPV,Cabo Verde,0,Other
54,CUW,Curaçao,0,Other
55,CIV,Côte d'Ivoire,0,Other
56,EGY,Egypt,0,Other
57,GLP,Guadeloupe,0,Other
58,PHL,Philippines,0,Other
59,PNG,Papua New Guinea,0,Other
60,AFG,Afghanistan,0,Other
61,PRK,"Korea, Democratic People's Republic of",0,Other
62,MDG,Madagascar,0,Other
63,BVT,Bouvet Island,0,Other
64,SLE,Sierra Leone,0,Other
65,UKR,Ukraine,0,Other
66,BEN,Benin,0,Other
67,TJK,Tajikistan,0,Other
68,TUN,Tunisia,0,Other
69,KIR,Kiribati,0,Other
70,PSE,"Palestine, State of",0,Other
71,GRD,Grenada,0,Other
72,SOM,Somalia,0,Other
73,SVN,Slovenia,0,Other
74,COL,Colombia,0,Other
75,MSR,Montserrat,0,Other
76,ZWE,Zimbabwe,0,Other
77,CYP,Cyprus,0,Other
78,LSO,Lesotho,0,Other
79,CRI,Costa Rica,0,Other
80,NRU,Nauru,0,Other
81,CAN,Canada,0,Other
82,CXR,Christmas Island,0,Other
83,SYC,Seychelles,0,Other
84,MAR,Morocco,0,Other
85,TTO,Trinidad and Tobago,0,Other
86,UGA,Uganda,0,Other
87,ZMB,Zambia,0,Other
88,ESH,Western Sahara,0,Other
89,GIN,Guinea,0,Other
90,VNM,Viet Nam,0,Other
91,SPM,Saint Pierre and Miquelon,0,Other
92,CMR,Cameroon,0,Other
93,TGO,Togo,0,Other
94,ARG,Argentina,0,Other
95,NPL,Nepal,0,Other
96,KHM,Cambodia,0,Other
97,JPN,Japan,0,Other
98,PER,Peru,0,Other
99,BTN,Bhutan,0,Other
100,RWA,Rwanda,0,Other
101,HMD,Heard Island and McDonald Islands,0,Other
102,STP,Sao Tome and Principe,0,Other
103,KWT,Kuwait,0,Other
104,WLF,Wallis and Futuna,0,Other
105,ALB,Albania,0,Other
106,GIB,Gibraltar,0,Other
107,MUS,Mauritius,0,Other
108,SLB,Solomon Islands,0,Other
109,CYM,Cayman Islands,0,Other
110,BLZ,Belize,0,Other
