,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,4884,Asia Central
1,ALB,Albania,4494,Europe Other
2,DZA,Algeria,11526,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,3,Europe Other
5,AGO,Angola,3039,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,26,America Central and South
8,ARG,Argentina,915,America Central and South
9,ARM,Armenia,2355,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,21294,Oceania
12,AUT,Austria,1,EU 14
13,AZE,Azerbaijan,5793,Europe Other
14,BHS,"Bahamas, The",95,America Central and South
15,BHR,Bahrain,9026,Middle East
16,BGD,Bangladesh,26849,Asia South
17,BRB,Barbados,183,America Central and South
18,BLR,Belarus,9093,Europe Other
19,BEL,Belgium,1,EU 14
20,BLZ,Belize,41,America Central and South
21,BEN,Benin,370,Africa Sub-Saharan
22,BMU,Bermuda (British),2,Other
23,BTN,Bhutan,147,Asia South
24,BOL,Bolivia,980,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,3380,Europe Other
27,BWA,Botswana,320,Africa Sub-Saharan
28,BRA,Brazil,4215,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,1295,Asia South East
31,BGR,Bulgaria,3,EU 2
32,BFA,Burkina,257,Africa Sub-Saharan
33,BDI,Burundi,184,Africa Sub-Saharan
34,KHM,Cambodia,516,Asia South East
35,CMR,Cameroon,4634,Africa Sub-Saharan
36,CAN,Canada,10525,America North
37,CPV,Cape Verde,69,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,44,Africa Sub-Saharan
40,TCD,Chad,83,Africa Sub-Saharan
41,CHL,Chile,951,America Central and South
42,CHN,China,266958,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,22135,America Central and South
46,COM,Comoros,69,Africa Sub-Saharan
47,COG,Congo,665,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),1880,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,83,America Central and South
51,HRV,Croatia,382,EU Other
52,CUB,Cuba,1292,America Central and South
53,CYP,Cyprus,369,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,1,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,110,Africa Sub-Saharan
58,DMA,Dominica,47,America Central and South
59,DOM,Dominican Republic,1175,America Central and South
60,TLS,East Timor,9,Asia South East
