,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,2853,Asia Central
1,ALB,Albania,4400,Europe Other
2,DZA,Algeria,15428,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,4,Europe Other
5,AGO,Angola,3721,Africa Sub-Saharan
6,AIA,Anguilla (British),1,Other
7,ATG,Antigua and Barbuda,16,America Central and South
8,ARG,Argentina,953,America Central and South
9,ARM,Armenia,2554,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,19057,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,8345,Europe Other
14,BHS,"Bahamas, The",73,America Central and South
15,BHR,Bahrain,12545,Middle East
16,BGD,Bangladesh,24423,Asia South
17,BRB,Barbados,176,America Central and South
18,BLR,Belarus,11414,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,37,America Central and South
21,BEN,Benin,388,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,223,Asia South
24,BOL,Bolivia,935,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,3239,Europe Other
27,BWA,Botswana,301,Africa Sub-Saharan
28,BRA,Brazil,6910,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,1128,Asia South East
31,BGR,Bulgaria,5,EU 2
32,BFA,Burkina,265,Africa Sub-Saharan
33,BDI,Burundi,161,Africa Sub-Saharan
34,KHM,Cambodia,700,Asia South East
35,CMR,Cameroon,3872,Africa Sub-Saharan
36,CAN,Canada,11378,America North
37,CPV,Cape Verde,106,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,37,Africa Sub-Saharan
40,TCD,Chad,94,Africa Sub-Saharan
41,CHL,Chile,992,America Central and South
42,CHN,China,373534,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,24590,America Central and South
46,COM,Comoros,196,Africa Sub-Saharan
47,COG,Congo,576,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),2049,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,101,America Central and South
51,HRV,Croatia,108,EU Other
52,CUB,Cuba,1401,America Central and South
53,CYP,Cyprus,368,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,160,Africa Sub-Saharan
58,DMA,Dominica,24,America Central and South
59,DOM,Dominican Republic,1222,America Central and South
60,TLS,East Timor,13,Asia South East
61,ECU,Ecuador,3007,America Central and South
62,EGY,Egypt,36061,Africa North
63,SLV,El Salvador,36,America Central and South
64,GNQ,Equatorial Guinea,153,Africa Sub-Saharan
65,ERI,Eritrea,1084,Africa Sub-Saharan
66,EST,Estonia,0,EU 8
67,ETH,Ethiopia,2939,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,1396,Oceania
71,FIN,Finland,1,EU 14
72,FRA,France,1,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,331,Africa Sub-Saharan
76,GMB,"Gambia, The",1977,Africa Sub-Saharan
77,GEO,Georgia,4848,Europe Other
78,DEU,Germany,3,EU 14
79,GHA,Ghana,21010,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,0,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,65,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,39,America Central and South
87,GIN,Guinea,511,Africa Sub-Saharan
88,GNB,Guinea-Bissau,117,Africa Sub-Saharan
89,GUY,Guyana,919,America Central and South
90,HTI,Haiti,201,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,45,America Central and South
93,HKG,Hong Kong,11134,Asia East
94,HUN,Hungary,0,EU 8
95,ISL,Iceland,1,Europe Other
96,IND,India,400740,Asia South
97,IDN,Indonesia,38609,Asia South East
98,IRN,Iran,10639,Middle East
