,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,1780,Asia Central
1,ALB,Albania,2582,Europe Other
2,DZA,Algeria,7438,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,2,Europe Other
5,AGO,Angola,1202,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,5,America Central and South
8,ARG,Argentina,63,America Central and South
9,ARM,Armenia,105,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,639,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,714,Europe Other
14,BHS,"Bahamas, The",8,America Central and South
15,BHR,Bahrain,323,Middle East
16,BGD,Bangladesh,13428,Asia South
17,BRB,Barbados,25,America Central and South
18,BLR,Belarus,688,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,9,America Central and South
21,BEN,Benin,173,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,21,Asia South
24,BOL,Bolivia,112,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,461,Europe Other
27,BWA,Botswana,50,Africa Sub-Saharan
28,BRA,Brazil,485,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,-6,Asia South East
31,BGR,Bulgaria,0,EU 2
32,BFA,Burkina,81,Africa Sub-Saharan
33,BDI,Burundi,87,Africa Sub-Saharan
34,KHM,Cambodia,236,Asia South East
35,CMR,Cameroon,1691,Africa Sub-Saharan
36,CAN,Canada,393,America North
37,CPV,Cape Verde,60,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,27,Africa Sub-Saharan
40,TCD,Chad,46,Africa Sub-Saharan
41,CHL,Chile,62,America Central and South
42,CHN,China,28080,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,1088,America Central and South
46,COM,Comoros,67,Africa Sub-Saharan
47,COG,Congo,284,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),1825,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,2,America Central and South
51,HRV,Croatia,7,EU Other
52,CUB,Cuba,321,America Central and South
53,CYP,Cyprus,93,EU Other
54,CYP,Cyprus (Northern part of),1,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,98,Africa Sub-Saharan
58,DMA,Dominica,22,America Central and South
59,DOM,Dominican Republic,219,America Central and South
60,TLS,East Timor,0,Asia South East
61,ECU,Ecuador,299,America Central and South
62,EGY,Egypt,8898,Africa North
63,SLV,El Salvador,7,America Central and South
64,GNQ,Equatorial Guinea,35,Africa Sub-Saharan
65,ERI,Eritrea,1051,Africa Sub-Saharan
66,EST,Estonia,1,EU 8
67,ETH,Ethiopia,1593,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,147,Oceania
71,FIN,Finland,0,EU 14
72,FRA,France,0,EU 14
