,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,3106,Asia Central
1,ALB,Albania,4836,Europe Other
2,DZA,Algeria,15079,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,9,Europe Other
5,AGO,Angola,3886,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,23,America Central and South
8,ARG,Argentina,841,America Central and South
9,ARM,Armenia,2419,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,21146,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,9293,Europe Other
14,BHS,"Bahamas, The",68,America Central and South
15,BHR,Bahrain,11171,Middle East
16,BGD,Bangladesh,23278,Asia South
17,BRB,Barbados,172,America Central and South
18,BLR,Belarus,10228,Europe Other
19,BEL,Belgium,1,EU 14
20,BLZ,Belize,33,America Central and South
21,BEN,Benin,317,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,121,Asia South
24,BOL,Bolivia,965,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,2868,Europe Other
27,BWA,Botswana,252,Africa Sub-Saharan
28,BRA,Brazil,7182,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,1028,Asia South East
31,BGR,Bulgaria,5,EU 2
32,BFA,Burkina,256,Africa Sub-Saharan
33,BDI,Burundi,170,Africa Sub-Saharan
34,KHM,Cambodia,870,Asia South East
35,CMR,Cameroon,3945,Africa Sub-Saharan
36,CAN,Canada,11246,America North
37,CPV,Cape Verde,110,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,47,Africa Sub-Saharan
40,TCD,Chad,88,Africa Sub-Saharan
41,CHL,Chile,1001,America Central and South
42,CHN,China,413275,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,26741,America Central and South
46,COM,Comoros,173,Africa Sub-Saharan
47,COG,Congo,509,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),2081,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,130,America Central and South
51,HRV,Croatia,1,EU Other
52,CUB,Cuba,1389,America Central and South
53,CYP,Cyprus,249,EU Other
54,CYP,Cyprus (Northern part of),1,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,110,Africa Sub-Saharan
58,DMA,Dominica,36,America Central and South
59,DOM,Dominican Republic,1411,America Central and South
60,TLS,East Timor,6,Asia South East
61,ECU,Ecuador,3390,America Central and South
62,EGY,Egypt,36116,Africa North
63,SLV,El Salvador,35,America Central and South
64,GNQ,Equatorial Guinea,91,Africa Sub-Saharan
65,ERI,Eritrea,978,Africa Sub-Saharan
