,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,218,Asia Central
1,ALB,Albania,257,Europe Other
2,DZA,Algeria,184,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,2,Europe Other
5,AGO,Angola,156,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,12,America Central and South
8,ARG,Argentina,88,America Central and South
9,ARM,Armenia,173,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,1099,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,537,Europe Other
14,BHS,"Bahamas, The",61,America Central and South
15,BHR,Bahrain,741,Middle East
16,BGD,Bangladesh,3048,Asia South
17,BRB,Barbados,109,America Central and South
18,BLR,Belarus,172,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,16,America Central and South
21,BEN,Benin,11,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,12,Asia South
24,BOL,Bolivia,24,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,29,Europe Other
27,BWA,Botswana,271,Africa Sub-Saharan
28,BRA,Brazil,1663,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,1061,Asia South East
31,BGR,Bulgaria,0,EU 2
32,BFA,Burkina,4,Africa Sub-Saharan
33,BDI,Burundi,8,Africa Sub-Saharan
34,KHM,Cambodia,43,Asia South East
35,CMR,Cameroon,466,Africa Sub-Saharan
36,CAN,Canada,3459,America North
37,CPV,Cape Verde,0,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,1,Africa Sub-Saharan
40,TCD,Chad,1,Africa Sub-Saharan
41,CHL,Chile,466,America Central and South
42,CHN,China,57336,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,876,America Central and South
46,COM,Comoros,2,Africa Sub-Saharan
47,COG,Congo,12,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),19,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,34,America Central and South
51,HRV,Croatia,113,EU Other
52,CUB,Cuba,7,America Central and South
53,CYP,Cyprus,1,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,3,Africa Sub-Saharan
58,DMA,Dominica,5,America Central and South
59,DOM,Dominican Republic,8,America Central and South
60,TLS,East Timor,3,Asia South East
61,ECU,Ecuador,117,America Central and South
62,EGY,Egypt,863,Africa North
63,SLV,El Salvador,9,America Central and South
64,GNQ,Equatorial Guinea,15,Africa Sub-Saharan
65,ERI,Eritrea,6,Africa Sub-Saharan
66,EST,Estonia,0,EU 8
67,ETH,Ethiopia,115,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,6,Oceania
71,FIN,Finland,0,EU 14
72,FRA,France,0,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,11,Africa Sub-Saharan
76,GMB,"Gambia, The",104,Africa Sub-Saharan
77,GEO,Georgia,199,Europe Other
78,DEU,Germany,0,EU 14
79,GHA,Ghana,1133,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,0,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,24,America Central and South
84,GLP,Guadeloupe,0,America Central and South
