,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,2549,Asia Central
1,ALB,Albania,6165,Europe Other
2,DZA,Algeria,15338,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,9,Europe Other
5,AGO,Angola,2408,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,34,America Central and South
8,ARG,Argentina,1003,America Central and South
9,ARM,Armenia,2363,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,20990,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,6301,Europe Other
14,BHS,"Bahamas, The",87,America Central and South
15,BHR,Bahrain,13812,Middle East
16,BGD,Bangladesh,15271,Asia South
17,BRB,Barbados,167,America Central and South
18,BLR,Belarus,9661,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,44,America Central and South
21,BEN,Benin,315,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,175,Asia South
24,BOL,Bolivia,1323,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,2505,Europe Other
27,BWA,Botswana,250,Africa Sub-Saharan
28,BRA,Brazil,4134,America Central and South
29,VGB,British Virgin Islands,1,Other
30,BRN,Brunei,624,Asia South East
31,BGR,Bulgaria,1,EU 2
32,BFA,Burkina,280,Africa Sub-Saharan
33,BDI,Burundi,139,Africa Sub-Saharan
34,KHM,Cambodia,1077,Asia South East
35,CMR,Cameroon,3213,Africa Sub-Saharan
36,CAN,Canada,10661,America North
37,CPV,Cape Verde,104,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,44,Africa Sub-Saharan
40,TCD,Chad,76,Africa Sub-Saharan
41,CHL,Chile,1061,America Central and South
42,CHN,China,581997,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,24300,America Central and South
46,COM,Comoros,226,Africa Sub-Saharan
47,COG,Congo,401,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),2082,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,136,America Central and South
51,HRV,Croatia,2,EU Other
52,CUB,Cuba,1435,America Central and South
53,CYP,Cyprus,283,EU Other
54,CYP,Cyprus (Northern part of),3,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,108,Africa Sub-Saharan
58,DMA,Dominica,41,America Central and South
59,DOM,Dominican Republic,1756,America Central and South
60,TLS,East Timor,6,Asia South East
61,ECU,Ecuador,4096,America Central and South
62,EGY,Egypt,37570,Africa North
63,SLV,El Salvador,58,America Central and South
64,GNQ,Equatorial Guinea,112,Africa Sub-Saharan
65,ERI,Eritrea,1495,Africa Sub-Saharan
66,EST,Estonia,1,EU 8
67,ETH,Ethiopia,2454,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,1072,Oceania
71,FIN,Finland,0,EU 14
72,FRA,France,0,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,237,Africa Sub-Saharan
76,GMB,"Gambia, The",1493,Africa Sub-Saharan
77,GEO,Georgia,4392,Europe Other
78,DEU,Germany,3,EU 14
79,GHA,Ghana,17444,Africa Sub-Saharan
