,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,26,Asia Central
1,ALB,Albania,105,Europe Other
2,DZA,Algeria,233,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,0,Europe Other
5,AGO,Angola,28,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,2,America Central and South
8,ARG,Argentina,292,America Central and South
9,ARM,Armenia,127,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,21881,Oceania
12,AUT,Austria,2,EU 14
13,AZE,Azerbaijan,275,Europe Other
14,BHS,"Bahamas, The",13,America Central and South
15,BHR,Bahrain,103,Middle East
16,BGD,Bangladesh,1920,Asia South
17,BRB,Barbados,60,America Central and South
18,BLR,Belarus,456,Europe Other
19,BEL,Belgium,2,EU 14
20,BLZ,Belize,11,America Central and South
21,BEN,Benin,4,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,1,Asia South
24,BOL,Bolivia,31,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,115,Europe Other
27,BWA,Botswana,91,Africa Sub-Saharan
28,BRA,Brazil,916,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,73,Asia South East
31,BGR,Bulgaria,4,EU 2
32,BFA,Burkina,5,Africa Sub-Saharan
33,BDI,Burundi,3,Africa Sub-Saharan
34,KHM,Cambodia,31,Asia South East
35,CMR,Cameroon,122,Africa Sub-Saharan
36,CAN,Canada,5765,America North
37,CPV,Cape Verde,14,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,0,Africa Sub-Saharan
40,TCD,Chad,2,Africa Sub-Saharan
41,CHL,Chile,127,America Central and South
42,CHN,China,6468,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,564,America Central and South
46,COM,Comoros,0,Africa Sub-Saharan
47,COG,Congo,17,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),13,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,24,America Central and South
51,HRV,Croatia,163,EU Other
52,CUB,Cuba,317,America Central and South
53,CYP,Cyprus,46,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,3,Africa Sub-Saharan
58,DMA,Dominica,13,America Central and South
59,DOM,Dominican Republic,25,America Central and South
60,TLS,East Timor,0,Asia South East
61,ECU,Ecuador,96,America Central and South
62,EGY,Egypt,1521,Africa North
63,SLV,El Salvador,13,America Central and South
64,GNQ,Equatorial Guinea,0,Africa Sub-Saharan
65,ERI,Eritrea,343,Africa Sub-Saharan
66,EST,Estonia,0,EU 8
67,ETH,Ethiopia,505,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,46,Oceania
71,FIN,Finland,1,EU 14
72,FRA,France,0,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,7,Africa Sub-Saharan
