,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,21,Asia Central
1,ALB,Albania,192,Europe Other
2,DZA,Algeria,137,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,1,Europe Other
5,AGO,Angola,91,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,3,America Central and South
8,ARG,Argentina,257,America Central and South
9,ARM,Armenia,161,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,29713,Oceania
12,AUT,Austria,1,EU 14
13,AZE,Azerbaijan,152,Europe Other
14,BHS,"Bahamas, The",14,America Central and South
15,BHR,Bahrain,75,Middle East
16,BGD,Bangladesh,3275,Asia South
17,BRB,Barbados,83,America Central and South
18,BLR,Belarus,1159,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,16,America Central and South
21,BEN,Benin,4,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,0,Asia South
24,BOL,Bolivia,31,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,157,Europe Other
27,BWA,Botswana,199,Africa Sub-Saharan
28,BRA,Brazil,990,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,115,Asia South East
31,BGR,Bulgaria,5538,EU 2
32,BFA,Burkina,10,Africa Sub-Saharan
33,BDI,Burundi,6,Africa Sub-Saharan
34,KHM,Cambodia,8,Asia South East
35,CMR,Cameroon,156,Africa Sub-Saharan
36,CAN,Canada,6516,America North
37,CPV,Cape Verde,19,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,1,Africa Sub-Saharan
40,TCD,Chad,3,Africa Sub-Saharan
41,CHL,Chile,148,America Central and South
42,CHN,China,6569,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,485,America Central and South
46,COM,Comoros,2,Africa Sub-Saharan
47,COG,Congo,14,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),38,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,21,America Central and South
51,HRV,Croatia,291,EU Other
52,CUB,Cuba,345,America Central and South
