,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,2829,Asia Central
1,ALB,Albania,5871,Europe Other
2,DZA,Algeria,16335,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,9,Europe Other
5,AGO,Angola,3667,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,19,America Central and South
8,ARG,Argentina,1145,America Central and South
9,ARM,Armenia,2621,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,22444,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,8041,Europe Other
14,BHS,"Bahamas, The",66,America Central and South
15,BHR,Bahrain,11852,Middle East
16,BGD,Bangladesh,15787,Asia South
17,BRB,Barbados,180,America Central and South
18,BLR,Belarus,9430,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,49,America Central and South
21,BEN,Benin,321,Africa Sub-Saharan
22,BMU,Bermuda (British),2,Other
23,BTN,Bhutan,135,Asia South
24,BOL,Bolivia,1134,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,2422,Europe Other
27,BWA,Botswana,280,Africa Sub-Saharan
28,BRA,Brazil,5571,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,818,Asia South East
31,BGR,Bulgaria,1,EU 2
32,BFA,Burkina,272,Africa Sub-Saharan
33,BDI,Burundi,158,Africa Sub-Saharan
34,KHM,Cambodia,998,Asia South East
35,CMR,Cameroon,3486,Africa Sub-Saharan
36,CAN,Canada,11748,America North
37,CPV,Cape Verde,116,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,48,Africa Sub-Saharan
40,TCD,Chad,112,Africa Sub-Saharan
41,CHL,Chile,1027,America Central and South
42,CHN,China,491359,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,26689,America Central and South
46,COM,Comoros,215,Africa Sub-Saharan
47,COG,Congo,463,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),1846,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
