,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,4400,Asia Central
1,ALB,Albania,6084,Europe Other
2,DZA,Algeria,13146,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,1,Europe Other
5,AGO,Angola,3642,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,57,America Central and South
8,ARG,Argentina,750,America Central and South
9,ARM,Armenia,1880,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,25971,Oceania
12,AUT,Austria,2,EU 14
13,AZE,Azerbaijan,4774,Europe Other
14,BHS,"Bahamas, The",108,America Central and South
15,BHR,Bahrain,8583,Middle East
16,BGD,Bangladesh,27431,Asia South
17,BRB,Barbados,278,America Central and South
18,BLR,Belarus,9891,Europe Other
19,BEL,Belgium,5,EU 14
20,BLZ,Belize,44,America Central and South
21,BEN,Benin,402,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,89,Asia South
24,BOL,Bolivia,196,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,4047,Europe Other
27,BWA,Botswana,595,Africa Sub-Saharan
28,BRA,Brazil,7715,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,1249,Asia South East
31,BGR,Bulgaria,7,EU 2
32,BFA,Burkina,273,Africa Sub-Saharan
33,BDI,Burundi,320,Africa Sub-Saharan
34,KHM,Cambodia,448,Asia South East
35,CMR,Cameroon,4278,Africa Sub-Saharan
36,CAN,Canada,10748,America North
37,CPV,Cape Verde,165,Africa Sub-Saharan
38,CYM,Cayman Islands (British),1,Other
39,CAF,Central African Republic,89,Africa Sub-Saharan
40,TCD,Chad,149,Africa Sub-Saharan
41,CHL,Chile,791,America Central and South
42,CHN,China,147874,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,20720,America Central and South
46,COM,Comoros,39,Africa Sub-Saharan
47,COG,Congo,842,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),3046,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,82,America Central and South
51,HRV,Croatia,493,EU Other
52,CUB,Cuba,1978,America Central and South
53,CYP,Cyprus,829,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,13,EU 8
56,DNK,Denmark,2,EU 14
57,DJI,Djibouti,151,Africa Sub-Saharan
58,DMA,Dominica,64,America Central and South
59,DOM,Dominican Republic,1372,America Central and South
60,TLS,East Timor,29,Asia South East
61,ECU,Ecuador,3205,America Central and South
62,EGY,Egypt,29021,Africa North
63,SLV,El Salvador,47,America Central and South
64,GNQ,Equatorial Guinea,176,Africa Sub-Saharan
65,ERI,Eritrea,1265,Africa Sub-Saharan
66,EST,Estonia,3,EU 8
67,ETH,Ethiopia,3911,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,1388,Oceania
71,FIN,Finland,3,EU 14
72,FRA,France,4,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,371,Africa Sub-Saharan
76,GMB,"Gambia, The",3903,Africa Sub-Saharan
77,GEO,Georgia,4778,Europe Other
78,DEU,Germany,7,EU 14
79,GHA,Ghana,20628,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,0,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,114,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,90,America Central and South
87,GIN,Guinea,816,Africa Sub-Saharan
88,GNB,Guinea-Bissau,114,Africa Sub-Saharan
89,GUY,Guyana,1392,America Central and South
90,HTI,Haiti,220,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,33,America Central and South
93,HKG,Hong Kong,6748,Asia East
94,HUN,Hungary,3,EU 8
95,ISL,Iceland,10,Europe Other
96,IND,India,399248,Asia South
97,IDN,Indonesia,19265,Asia South East
98,IRN,Iran,32414,Middle East
99,IRQ,Iraq,7656,Middle East
100,IRL,Ireland,2,EU 14
101,ISR,Israel,1341,Middle East
102,ITA,Italy,2,EU 14
103,CIV,Ivory Coast,2051,Africa Sub-Saharan
104,JAM,Jamaica,9975,America Central and South
105,JPN,Japan,11413,Asia East
106,JOR,Jordan,11590,Middle East
107,KAZ,Kazakhstan,13076,Asia Central
108,KEN,Kenya,15337,Africa Sub-Saharan
109,KIR,Kiribati,2,Oceania
110,KWT,Kuwait,40835,Middle East
111,KGZ,Kyrgyzstan,909,Asia Central
112,LAO,Laos,150,Asia South East
113,LVA,Latvia,19,EU 8
114,LBN,Lebanon,10855,Middle East
