,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,6230,Asia Central
1,ALB,Albania,8633,Europe Other
2,DZA,Algeria,12506,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,7,Europe Other
5,AGO,Angola,4165,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,39,America Central and South
8,ARG,Argentina,900,America Central and South
9,ARM,Armenia,1915,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,31464,Oceania
12,AUT,Austria,4,EU 14
13,AZE,Azerbaijan,5016,Europe Other
14,BHS,"Bahamas, The",134,America Central and South
15,BHR,Bahrain,7280,Middle East
16,BGD,Bangladesh,28522,Asia South
17,BRB,Barbados,308,America Central and South
18,BLR,Belarus,11236,Europe Other
19,BEL,Belgium,4,EU 14
20,BLZ,Belize,33,America Central and South
21,BEN,Benin,468,Africa Sub-Saharan
22,BMU,Bermuda (British),1,Other
23,BTN,Bhutan,134,Asia South
24,BOL,Bolivia,231,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,3851,Europe Other
27,BWA,Botswana,973,Africa Sub-Saharan
28,BRA,Brazil,7038,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,1237,Asia South East
31,BGR,Bulgaria,19,EU 2
32,BFA,Burkina,319,Africa Sub-Saharan
33,BDI,Burundi,267,Africa Sub-Saharan
34,KHM,Cambodia,374,Asia South East
35,CMR,Cameroon,5338,Africa Sub-Saharan
36,CAN,Canada,10538,America North
37,CPV,Cape Verde,313,Africa Sub-Saharan
38,CYM,Cayman Islands (British),1,Other
39,CAF,Central African Republic,70,Africa Sub-Saharan
40,TCD,Chad,132,Africa Sub-Saharan
41,CHL,Chile,891,America Central and South
42,CHN,China,165547,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,20165,America Central and South
46,COM,Comoros,28,Africa Sub-Saharan
47,COG,Congo,1228,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),4638,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,86,America Central and South
51,HRV,Croatia,544,EU Other
52,CUB,Cuba,2224,America Central and South
53,CYP,Cyprus,959,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,8,EU 8
56,DNK,Denmark,1,EU 14
57,DJI,Djibouti,164,Africa Sub-Saharan
58,DMA,Dominica,66,America Central and South
59,DOM,Dominican Republic,1817,America Central and South
60,TLS,East Timor,3,Asia South East
61,ECU,Ecuador,3884,America Central and South
62,EGY,Egypt,28923,Africa North
63,SLV,El Salvador,40,America Central and South
64,GNQ,Equatorial Guinea,230,Africa Sub-Saharan
65,ERI,Eritrea,1450,Africa Sub-Saharan
66,EST,Estonia,16,EU 8
67,ETH,Ethiopia,3957,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,1253,Oceania
71,FIN,Finland,3,EU 14
72,FRA,France,5,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,505,Africa Sub-Saharan
76,GMB,"Gambia, The",4214,Africa Sub-Saharan
77,GEO,Georgia,4675,Europe Other
78,DEU,Germany,3,EU 14
79,GHA,Ghana,23743,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,3,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,118,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,75,America Central and South
87,GIN,Guinea,883,Africa Sub-Saharan
88,GNB,Guinea-Bissau,182,Africa Sub-Saharan
89,GUY,Guyana,2273,America Central and South
90,HTI,Haiti,252,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,49,America Central and South
93,HKG,Hong Kong,6887,Asia East
94,HUN,Hungary,4,EU 8
95,ISL,Iceland,2,Europe Other
96,IND,India,420711,Asia South
97,IDN,Indonesia,20705,Asia South East
98,IRN,Iran,36416,Middle East
99,IRQ,Iraq,5997,Middle East
100,IRL,Ireland,5,EU 14
101,ISR,Israel,1659,Middle East
102,ITA,Italy,4,EU 14
103,CIV,Ivory Coast,2291,Africa Sub-Saharan
104,JAM,Jamaica,10306,America Central and South
105,JPN,Japan,12840,Asia East
106,JOR,Jordan,11597,Middle East
107,KAZ,Kazakhstan,14658,Asia Central
108,KEN,Kenya,14968,Africa Sub-Saharan
109,KIR,Kiribati,0,Oceania
110,KWT,Kuwait,35954,Middle East
111,KGZ,Kyrgyzstan,1051,Asia Central
112,LAO,Laos,130,Asia South East
113,LVA,Latvia,26,EU 8
114,LBN,Lebanon,12472,Middle East
115,LSO,Lesotho,56,Africa Sub-Saharan
116,LBR,Liberia,458,Africa Sub-Saharan
117,LBY,Libya,11774,Africa North
118,LIE,Liechtenstein,0,Europe Other
119,LTU,Lithuania,3,EU 8
120,LUX,Luxembourg,0,EU 14
121,MAC,Macau,117,Asia East
