,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,187,Asia Central
1,ALB,Albania,349,Europe Other
2,DZA,Algeria,330,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,3,Europe Other
5,AGO,Angola,225,Africa Sub-Saharan
6,AIA,Anguilla (British),1,Other
7,ATG,Antigua and Barbuda,11,America Central and South
8,ARG,Argentina,158,America Central and South
9,ARM,Armenia,99,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,1042,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,367,Europe Other
14,BHS,"Bahamas, The",79,America Central and South
15,BHR,Bahrain,639,Middle East
16,BGD,Bangladesh,18164,Asia South
17,BRB,Barbados,127,America Central and South
18,BLR,Belarus,138,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,18,America Central and South
21,BEN,Benin,26,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,30,Asia South
24,BOL,Bolivia,72,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,73,Europe Other
27,BWA,Botswana,212,Africa Sub-Saharan
28,BRA,Brazil,3106,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,1088,Asia South East
31,BGR,Bulgaria,0,EU 2
32,BFA,Burkina,13,Africa Sub-Saharan
33,BDI,Burundi,9,Africa Sub-Saharan
34,KHM,Cambodia,64,Asia South East
35,CMR,Cameroon,496,Africa Sub-Saharan
36,CAN,Canada,3320,America North
37,CPV,Cape Verde,0,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,4,Africa Sub-Saharan
40,TCD,Chad,6,Africa Sub-Saharan
41,CHL,Chile,418,America Central and South
42,CHN,China,37820,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,4177,America Central and South
46,COM,Comoros,3,Africa Sub-Saharan
47,COG,Congo,29,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),38,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,32,America Central and South
51,HRV,Croatia,166,EU Other
52,CUB,Cuba,19,America Central and South
53,CYP,Cyprus,23,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,1,Africa Sub-Saharan
58,DMA,Dominica,19,America Central and South
59,DOM,Dominican Republic,23,America Central and South
60,TLS,East Timor,3,Asia South East
61,ECU,Ecuador,297,America Central and South
62,EGY,Egypt,1026,Africa North
63,SLV,El Salvador,17,America Central and South
64,GNQ,Equatorial Guinea,1,Africa Sub-Saharan
65,ERI,Eritrea,16,Africa Sub-Saharan
66,EST,Estonia,0,EU 8
67,ETH,Ethiopia,112,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,13,Oceania
71,FIN,Finland,0,EU 14
72,FRA,France,1,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,10,Africa Sub-Saharan
