,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,1425,Asia Central
1,ALB,Albania,4013,Europe Other
2,DZA,Algeria,12241,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,0,Europe Other
5,AGO,Angola,1258,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,13,America Central and South
8,ARG,Argentina,53,America Central and South
9,ARM,Armenia,242,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,662,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,624,Europe Other
14,BHS,"Bahamas, The",22,America Central and South
15,BHR,Bahrain,209,Middle East
16,BGD,Bangladesh,10284,Asia South
17,BRB,Barbados,23,America Central and South
18,BLR,Belarus,850,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,3,America Central and South
21,BEN,Benin,223,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,25,Asia South
24,BOL,Bolivia,169,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,347,Europe Other
27,BWA,Botswana,40,Africa Sub-Saharan
28,BRA,Brazil,491,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,26,Asia South East
31,BGR,Bulgaria,0,EU 2
32,BFA,Burkina,125,Africa Sub-Saharan
33,BDI,Burundi,111,Africa Sub-Saharan
34,KHM,Cambodia,233,Asia South East
35,CMR,Cameroon,2166,Africa Sub-Saharan
36,CAN,Canada,550,America North
37,CPV,Cape Verde,63,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,24,Africa Sub-Saharan
40,TCD,Chad,56,Africa Sub-Saharan
41,CHL,Chile,75,America Central and South
42,CHN,China,38677,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,1502,America Central and South
46,COM,Comoros,135,Africa Sub-Saharan
47,COG,Congo,313,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),1691,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,12,America Central and South
51,HRV,Croatia,4,EU Other
52,CUB,Cuba,310,America Central and South
53,CYP,Cyprus,96,EU Other
54,CYP,Cyprus (Northern part of),1,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,84,Africa Sub-Saharan
58,DMA,Dominica,22,America Central and South
59,DOM,Dominican Republic,398,America Central and South
60,TLS,East Timor,0,Asia South East
61,ECU,Ecuador,445,America Central and South
62,EGY,Egypt,9317,Africa North
63,SLV,El Salvador,3,America Central and South
64,GNQ,Equatorial Guinea,51,Africa Sub-Saharan
65,ERI,Eritrea,771,Africa Sub-Saharan
66,EST,Estonia,1,EU 8
67,ETH,Ethiopia,2382,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,222,Oceania
71,FIN,Finland,1,EU 14
72,FRA,France,1,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,101,Africa Sub-Saharan
76,GMB,"Gambia, The",2050,Africa Sub-Saharan
77,GEO,Georgia,1249,Europe Other
78,DEU,Germany,2,EU 14
79,GHA,Ghana,15121,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,3,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,9,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,0,America Central and South
87,GIN,Guinea,466,Africa Sub-Saharan
88,GNB,Guinea-Bissau,186,Africa Sub-Saharan
89,GUY,Guyana,195,America Central and South
90,HTI,Haiti,49,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,6,America Central and South
