,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,2770,Asia Central
1,ALB,Albania,3268,Europe Other
2,DZA,Algeria,2728,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,5,Europe Other
5,AGO,Angola,801,Africa Sub-Saharan
6,AIA,Anguilla (British),2,Other
7,ATG,Antigua and Barbuda,12,America Central and South
8,ARG,Argentina,13,America Central and South
9,ARM,Armenia,196,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,1788,Oceania
12,AUT,Austria,4,EU 14
13,AZE,Azerbaijan,506,Europe Other
14,BHS,"Bahamas, The",7,America Central and South
15,BHR,Bahrain,192,Middle East
16,BGD,Bangladesh,18665,Asia South
17,BRB,Barbados,51,America Central and South
18,BLR,Belarus,786,Europe Other
19,BEL,Belgium,3,EU 14
20,BLZ,Belize,11,America Central and South
21,BEN,Benin,232,Africa Sub-Saharan
22,BMU,Bermuda (British),-1,Other
23,BTN,Bhutan,10,Asia South
24,BOL,Bolivia,158,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,153,Europe Other
27,BWA,Botswana,268,Africa Sub-Saharan
28,BRA,Brazil,1615,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,7,Asia South East
31,BGR,Bulgaria,13,EU 2
32,BFA,Burkina,68,Africa Sub-Saharan
33,BDI,Burundi,83,Africa Sub-Saharan
34,KHM,Cambodia,50,Asia South East
35,CMR,Cameroon,2247,Africa Sub-Saharan
36,CAN,Canada,745,America North
37,CPV,Cape Verde,49,Africa Sub-Saharan
38,CYM,Cayman Islands (British),2,Other
39,CAF,Central African Republic,20,Africa Sub-Saharan
40,TCD,Chad,68,Africa Sub-Saharan
41,CHL,Chile,40,America Central and South
42,CHN,China,17981,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,1493,America Central and South
46,COM,Comoros,15,Africa Sub-Saharan
47,COG,Congo,471,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),1494,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,10,America Central and South
51,HRV,Croatia,74,EU Other
52,CUB,Cuba,342,America Central and South
53,CYP,Cyprus,56,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,29,EU 8
56,DNK,Denmark,2,EU 14
57,DJI,Djibouti,84,Africa Sub-Saharan
58,DMA,Dominica,39,America Central and South
59,DOM,Dominican Republic,194,America Central and South
60,TLS,East Timor,2,Asia South East
61,ECU,Ecuador,560,America Central and South
62,EGY,Egypt,2405,Africa North
63,SLV,El Salvador,10,America Central and South
64,GNQ,Equatorial Guinea,32,Africa Sub-Saharan
65,ERI,Eritrea,639,Africa Sub-Saharan
66,EST,Estonia,17,EU 8
67,ETH,Ethiopia,1347,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,163,Oceania
71,FIN,Finland,1,EU 14
72,FRA,France,14,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,61,Africa Sub-Saharan
76,GMB,"Gambia, The",2803,Africa Sub-Saharan
77,GEO,Georgia,950,Europe Other
78,DEU,Germany,7,EU 14
79,GHA,Ghana,17773,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,14,EU 14
82,GRL,Greenland,1,Europe Other
83,GRD,Grenada,43,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,16,America Central and South
87,GIN,Guinea,1043,Africa Sub-Saharan
88,GNB,Guinea-Bissau,96,Africa Sub-Saharan
89,GUY,Guyana,374,America Central and South
90,HTI,Haiti,59,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,5,America Central and South
93,HKG,Hong Kong,298,Asia East
94,HUN,Hungary,2,EU 8
95,ISL,Iceland,7,Europe Other
96,IND,India,88515,Asia South
97,IDN,Indonesia,1387,Asia South East
98,IRN,Iran,9116,Middle East
99,IRQ,Iraq,5869,Middle East
100,IRL,Ireland,11,EU 14
101,ISR,Israel,178,Middle East
102,ITA,Italy,3,EU 14
103,CIV,Ivory Coast,910,Africa Sub-Saharan
104,JAM,Jamaica,4785,America Central and South
