,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,66,Asia Central
1,ALB,Albania,222,Europe Other
2,DZA,Algeria,356,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,5,Europe Other
5,AGO,Angola,449,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,24,America Central and South
8,ARG,Argentina,116,America Central and South
9,ARM,Armenia,83,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,1247,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,401,Europe Other
14,BHS,"Bahamas, The",69,America Central and South
15,BHR,Bahrain,813,Middle East
16,BGD,Bangladesh,1236,Asia South
17,BRB,Barbados,75,America Central and South
18,BLR,Belarus,117,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,31,America Central and South
21,BEN,Benin,17,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,24,Asia South
24,BOL,Bolivia,55,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,31,Europe Other
27,BWA,Botswana,196,Africa Sub-Saharan
28,BRA,Brazil,807,America Central and South
29,VGB,British Virgin Islands,1,Other
30,BRN,Brunei,523,Asia South East
31,BGR,Bulgaria,0,EU 2
32,BFA,Burkina,13,Africa Sub-Saharan
33,BDI,Burundi,12,Africa Sub-Saharan
34,KHM,Cambodia,92,Asia South East
35,CMR,Cameroon,233,Africa Sub-Saharan
36,CAN,Canada,3241,America North
37,CPV,Cape Verde,3,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,0,Africa Sub-Saharan
40,TCD,Chad,4,Africa Sub-Saharan
41,CHL,Chile,616,America Central and South
42,CHN,China,76636,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,709,America Central and South
46,COM,Comoros,3,Africa Sub-Saharan
47,COG,Congo,13,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),34,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,73,America Central and South
51,HRV,Croatia,0,EU Other
52,CUB,Cuba,19,America Central and South
53,CYP,Cyprus,2,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,4,Africa Sub-Saharan
58,DMA,Dominica,23,America Central and South
59,DOM,Dominican Republic,132,America Central and South
60,TLS,East Timor,1,Asia South East
61,ECU,Ecuador,432,America Central and South
62,EGY,Egypt,1779,Africa North
63,SLV,El Salvador,27,America Central and South
64,GNQ,Equatorial Guinea,14,Africa Sub-Saharan
65,ERI,Eritrea,15,Africa Sub-Saharan
66,EST,Estonia,0,EU 8
67,ETH,Ethiopia,93,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,18,Oceania
71,FIN,Finland,0,EU 14
72,FRA,France,0,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,10,Africa Sub-Saharan
76,GMB,"Gambia, The",80,Africa Sub-Saharan
77,GEO,Georgia,172,Europe Other
78,DEU,Germany,1,EU 14
79,GHA,Ghana,962,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,0,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,22,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,40,America Central and South
87,GIN,Guinea,11,Africa Sub-Saharan
88,GNB,Guinea-Bissau,2,Africa Sub-Saharan
89,GUY,Guyana,50,America Central and South
90,HTI,Haiti,6,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,22,America Central and South
93,HKG,Hong Kong,9007,Asia East
94,HUN,Hungary,0,EU 8
95,ISL,Iceland,0,Europe Other
96,IND,India,11330,Asia South
97,IDN,Indonesia,3184,Asia South East
98,IRN,Iran,978,Middle East
99,IRQ,Iraq,546,Middle East
100,IRL,Ireland,0,EU 14
101,ISR,Israel,172,Middle East
102,ITA,Italy,0,EU 14
103,CIV,Ivory Coast,46,Africa Sub-Saharan
104,JAM,Jamaica,100,America Central and South
